Entity,Code,Year,Production of printed books per half century
Belgium,BEL,1475,394000
Belgium,BEL,1525,1963000
Belgium,BEL,1575,5720000
Belgium,BEL,1625,4334000
Belgium,BEL,1675,7203000
Belgium,BEL,1725,3016000
Belgium,BEL,1775,4817000
France,FRA,1475,2861000
France,FRA,1525,34736000
France,FRA,1575,39084000
France,FRA,1625,61257000
France,FRA,1675,85163000
France,FRA,1725,73631000
France,FRA,1775,157153000
Germany,DEU,1475,3227000
Germany,DEU,1525,15603000
Germany,DEU,1575,32112000
Germany,DEU,1625,40553000
Germany,DEU,1675,57708000
Germany,DEU,1725,78205000
Germany,DEU,1775,116814000
Great Britain,,1475,208000
Great Britain,,1525,2807000
Great Britain,,1575,7999000
Great Britain,,1625,32912000
Great Britain,,1675,89306000
Great Britain,,1725,89259000
Great Britain,,1775,138355000
Ireland,IRL,1475,0
Ireland,IRL,1525,0
Ireland,IRL,1575,4000
Ireland,IRL,1625,268000
Ireland,IRL,1675,1341000
Ireland,IRL,1725,8586000
Ireland,IRL,1775,17598000
Italy,ITA,1475,4532000
Italy,ITA,1525,16719000
Italy,ITA,1575,41641000
Italy,ITA,1625,35067000
Italy,ITA,1675,43293000
Italy,ITA,1725,37930000
Italy,ITA,1775,75500000
Netherlands,NLD,1475,473000
Netherlands,NLD,1525,1045000
Netherlands,NLD,1575,2842000
Netherlands,NLD,1625,15009000
Netherlands,NLD,1675,30149000
Netherlands,NLD,1725,40950000
Netherlands,NLD,1775,53063000
Other countries,,1475,22000
Other countries,,1525,530000
Other countries,,1575,718000
Other countries,,1625,1000000
Other countries,,1675,2310000
Other countries,,1725,2974000
Other countries,,1775,14067000
Poland,POL,1475,1000
Poland,POL,1525,63000
Poland,POL,1575,146000
Poland,POL,1625,1807000
Poland,POL,1675,2062000
Poland,POL,1725,3468000
Poland,POL,1775,9208000
Russia,RUS,1475,0
Russia,RUS,1525,0
Russia,RUS,1575,0
Russia,RUS,1625,123000
Russia,RUS,1675,165000
Russia,RUS,1725,1275000
Russia,RUS,1775,12367000
Spain,ESP,1475,463000
Spain,ESP,1525,2205000
Spain,ESP,1575,2306000
Spain,ESP,1625,4631000
Spain,ESP,1675,7088000
Spain,ESP,1725,9124000
Spain,ESP,1775,16304000
Sweden,SWE,1475,6000
Sweden,SWE,1525,34000
Sweden,SWE,1575,49000
Sweden,SWE,1625,2080000
Sweden,SWE,1675,3756000
Sweden,SWE,1725,6654000
Sweden,SWE,1775,21305000
Switzerland,CHE,1475,400000
Switzerland,CHE,1525,3312000
Switzerland,CHE,1575,5786000
Switzerland,CHE,1625,1988000
Switzerland,CHE,1675,1656000
Switzerland,CHE,1725,1277000
Switzerland,CHE,1775,4615000
